주제,기사 제목,기사 URL,편향성 평가,주요 문장,비고
동덕여대,학생 고소한 학교…동덕여대 사태 악화에 교육계서 '소통론',https://www.msn.com/ko-kr/news/national/%ED%95%99%EC%83%9D-%EA%B3%A0%EC%86%8C%ED%95%9C-%ED%95%99%EA%B5%90-%EB%8F%99%EB%8D%95%EC%97%AC%EB%8C%80-%EC%82%AC%ED%83%9C-%EC%95%85%ED%99%94%EC%97%90-%EA%B5%90%EC%9C%A1%EA%B3%84%EC%84%9C-%EC%86%8C%ED%86%B5%EB%A1%A0/ar-AA1v8L1P?ocid=BingNewsVerp,-2,"학교 대응도 미숙했다, 학교는 반대로 강하게 나가고 있다, 학교도 미숙함을 보였다, 학교가 학생들을 설득해서 문제를 협의했어야 한다는 아쉬움이 든다, 학생들의 의견을 많이 듣고 경청했어야 한다고 생각한다, 학교가 학생들과 대화할 의지가 전혀 보이지 않는, 학생들을 고소한다는 기사를 보면서 비통하다는 생각이 들었다",
동덕여대,학생 고소한 학교…동덕여대 사태 악화에 교육계서 '소통론',https://www.msn.com/ko-kr/news/national/%ED%95%99%EC%83%9D-%EA%B3%A0%EC%86%8C%ED%95%9C-%ED%95%99%EA%B5%90-%EB%8F%99%EB%8D%95%EC%97%AC%EB%8C%80-%EC%82%AC%ED%83%9C-%EC%95%85%ED%99%94%EC%97%90-%EA%B5%90%EC%9C%A1%EA%B3%84%EC%84%9C-%EC%86%8C%ED%86%B5%EB%A1%A0/ar-AA1v8L1P?ocid=BingNewsVerp,0,"양측이 대화를 통해 대안을 찾는 노력을 이어가야 한다는 의견이 나온다, 양측이 서로 소통과 양보를 통해 대안을 도출하는 방안을 포기해선 안 된다 ",
동덕여대,"동덕여대 총학생회, 본관 점거 농성 종료…""학교가 불법행위로 규정""",https://www.msn.com/ko-kr/news/other/%EB%8F%99%EB%8D%95%EC%97%AC%EB%8C%80-%EB%B3%B5%EA%B5%AC%EB%B9%84%EB%A7%8C-100%EC%96%B5%EC%9D%B8%EB%8D%B0%ED%95%99%EC%83%9D%EB%93%A4%EC%97%90%EA%B2%8C-%EC%B2%AD%EA%B5%AC%ED%95%98%EA%B2%A0%EB%8B%A4-y%EB%85%B9%EC%B7%A8%EB%A1%9D/ar-AA1vaBYl?ocid=BingNewsVerp,2,"동덕여대 학생들이 남긴 래커칠 등 훼손된 학교, 협상 물꼬가 트일 것으로 보였지만 총학생회는 본관 점거 농성을 이어갔다, 학생들은 남녀공학 전환 논의를 완전히 철회하라는 강경한 입장을 밝혔다, 학생들은 학교 건물을 점거, 학생들은 캠퍼스 곳곳에 래커 낙서를 하거나 기물을 파손했다",
동덕여대,"동덕여대 총학생회, 본관 점거 농성 종료…""학교가 불법행위로 규정""",https://www.msn.com/ko-kr/news/other/%EB%8F%99%EB%8D%95%EC%97%AC%EB%8C%80-%EB%B3%B5%EA%B5%AC%EB%B9%84%EB%A7%8C-100%EC%96%B5%EC%9D%B8%EB%8D%B0%ED%95%99%EC%83%9D%EB%93%A4%EC%97%90%EA%B2%8C-%EC%B2%AD%EA%B5%AC%ED%95%98%EA%B2%A0%EB%8B%A4-y%EB%85%B9%EC%B7%A8%EB%A1%9D/ar-AA1vaBYl?ocid=BingNewsVerp,1,"피해 금액은 54억 정도로 추산된다, 업체에 따르면 피해복구는 100억까지도 이를 것으로 추정된다",
동덕여대,동덕여대 교수 5인 “학교가 학생 지켜야”···교수사회도 ‘학교 불통’에 분노,https://www.khan.co.kr/article/202412040600101,-3,"학교에 대해 분노하고 있다, 학교의 태도가 학생들뿐 아니라 교수들에게도 상처를 남겼다, 반발의 뿌리는 학교 측의 불통에 기인한 것, 학교가 교수들에 징계 압박, 초에 학교는 학생들의 의견을 받아들일 생각이 없었을 것, 학교의 책임이 크다, 학교 측의 말은 학생들뿐만 아니라 교수들도 믿지 않는다, 계속 학생들은 무시당해왔다, 학생들에게 납득할만한 설명이 없었고",
동덕여대,"동덕여대 교수·직원 비대위 “총학, 본관 점거 풀어라”",https://www.hani.co.kr/arti/society/society_general/1170298.html,2,"총학생회는 지금이라도 불법행위의 잘못과 책임을 인정하고 빨리 본관 점거를 해제하라고 촉구, 치밀한 계획에 의한 불법 점거 도가 넘는 위법행위 등에 대한 증거는 차고 넘친다, 대학은 불법행위의 참여 정도를 엄격히 구분할 것, 이번 사태의 위법성에 대해 일말의 반성과 책임감 없는 총학생회의 태도에 대해 안타깝게 생각한다, 이번 사태로 인해 수십억에 이르는 재산적 손해는 물론 많은 구성원들이 겪고 있는 정신적 피해를 겪고 있다, 불법행동에 참여하고 있는 학생들은 지금이라도 본인이 져야 할 책임에 대해 이성적으로 판단하기 바란다, 본관 점거로 인한 학사행정 업무 차질 역시 수업방해의 일환, 더 이상의 수업방해는 용납할 수 없다, 반대의사를 폭력으로 행사한 학생들이 오히려 대학에게 사과를 요구하는 어처구니없는 상황, 일부 학생이 반대하니까 무조건 논의를 철회하라는 학생의 주장은 억지이자 독선",
동덕여대,동덕여대 시위가 남긴 저항의 교훈,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003084448,3,"동덕여대 시위는 폭력적 행동과 파괴적인 방식으로 인해 그 정당성이 크게 훼손됐습니다, 일부 학생들의 행위는 정작 저항의 메시지를 왜곡했고, 학생들은 공감보다는 비난을 불러일으켰습니다,  이 시위는 해결의 가능성을 열지 못했다는 점에서 실패한 저항이다, 학생들이 실행 가능한 대안을 제시했다면 시위는 더 큰 정당성을 확보하고 학교와의 협상 가능성을 높였을 것입니다",
동덕여대,동덕여대 시위가 남긴 저항의 교훈,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003084448,-2,"학교 본부 역시 학생들과의 소통에 실패했습니다, 학내 구성원의 의견을 충분히 반영하지 않고 일방적 태도를 고수해 갈등을 심화, 학교는 극단적 저항을 촉발하는 원인자가 됐습니다, 학교에서 평소 학내 민주주의가 작동했는지조차 의심스러울 정도입니다",
동덕여대,동덕여대 시위가 남긴 저항의 교훈,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003084448,0,"폭력 말고 대화, 대립 말고 협력, 반대 말고 대안, 대화는 갈등 해결의 출발점입니다, 학생들과 학교 모두에게 생산적인 결과를 가져올 수 있었을 것입니다,  학생들도 폭력이 아닌 창의적이고 평화적인 방식으로 목소리를 낼 수 있었을 것이다",
동덕여대,"동덕여대 학생들은 왜 그리 화가 났을까",https://www.sisain.co.kr/news/articleView.html?idxno=54430,-1,"학생들은 오죽하면 이랬겠냐, 대학 자체 피해 금액은 54억여 원으로 추산했다, 학생들에게 여대는 아무 데서나 자고 있어도 안전하다는 확신이 드는 공간, 여성들끼리의 공론장이 사라지는 게 옳지 않다",
