주제,기사 제목,기사 URL,편향성 평가,주요 문장,비고
의대 정원 확대,"정부 의대정원 확대 방침에 의사회원 81.7% ""반대""",https://www.doctorsnews.co.kr/news/articleView.html?idxno=153311,-2,"이미 의사 수가 충분하다, 향후 인구감소로 인한 의사 수요 역시 감소 될 것이기 때문에, 의료비용의 증가 우려, 의료서비스 질 저하 우려, 과다한 경쟁 우려, 전 세계 어느 나라도 사용하지 않는 방식인 수요조사에 기반해 의대정원을 대폭 확대할 경우 지금도 위태로운 건강보험 재정에 큰 부담이 될 수 있어서 결과적으로 추후 국민 건강보험료 인상으로 되돌아 올 것이다","의대 정원 확대에 찬성하면 1, 반대하면 -1, 중립은 0"
의대 정원 확대,"정부 의대정원 확대 방침에 의사회원 81.7% ""반대""",https://www.doctorsnews.co.kr/news/articleView.html?idxno=153311,2,"필수의료 분야 공백 해소를 위해, 지역 간 의료격차 해소를 위해, 의사가 부족해 환자가 진료를 받지 못해서",
의대 정원 확대,"의대정원 확대 ""긍정적"" 76%…반대는 16% 불과",https://www.hankyung.com/article/2024021696001,3,"의사 수 부족 공급 확대 필요, 국민 편의 증대 의료 서비스 개선, 지방 의료 부족 대도시 편중, 특정과 전문의 부족 기피 문제 해소, 고령화로 인한 의료진 부족도 심해질 것이라고 주장, 저출산으로 인해 인구가 줄더라도 고령화에 따라 의료 수요는 대폭 증가",
의대 정원 확대,"의대정원 확대 ""긍정적"" 76%…반대는 16% 불과",https://www.hankyung.com/article/2024021696001,-2,"의료 수준 전문성 저하 우려, 의료 문제 해소 안 됨, 실효성 미흡, 성급함, 준비 미흡, 과도한 증원, 의대 편중 사교육 조장",
의대 정원 확대,의사 10명 중 7명 이상 '의대정원 확대' 반대,https://www.doctorsnews.co.kr/news/articleView.html?idxno=151952,-3,"의대정원 확대가 필수의료의 해결책이 아니다, 의료계와 합의된 필수의료 대책 등이 선결된 이후의 의대정원 확대라는 조건을 달았음에도 설문에 참여한 회원의 77%는 의대정원 확대 자체를 반대, 정부가 의대정원 확대를 결정하는데 의협의 의견을 무시하고 강행, 정원 확대가 무너지는 대한민국 의료의 해답이 아니라는 회원들의 뜻이 반영됐다고 생각, 의사 과잉 공급으로 인한 의료비 증가 및 국민건강 피해, 이공계 학생 이탈로 인한 과학·산업계 위축에 대한 우려",
의대 정원 확대,"대구경북 의사 10명 중 8명 '의과대학 정원 확대' 반대…이유는 ""의료인력 충분""",https://www.yeongnam.com/web/view.php?key=20240205010000570,-3,"대구경북 일선 의사 10명 중 8명은 의과대학 정원 확대를 반대하는 것으로 파악됐다, 자칫 섣부른 의대 정원 확대는 의료 질 저하와 향후 의료비 증가를 유발할 수 있어 신중한 고려가 필요하다, 지역·필수 의료 분야 문제는 의료 현장에서 제기되는 문제의 근본적인 원인에 대한 분석이 선행돼야 한다",
의대 정원 확대,“국민 89%는 의대 정원 확대 찬성…86% 파업 반대”,https://m.dongascience.com/news.php?idx=62949,-1,"국민들 10명 중 약 9명은 의대 증원에 찬성하는 것으로 나타났다, 정부의 의대 증원에 반대하는 의협의 입장을 지지하지 않는다",
의대 정원 확대,"의대정원 확대 의사 81.7% 반대…""의사 부족 신뢰성 없어""",https://www.medipana.com/health/view.php?news_idx=322484,-3,"의대정원 확대보다는 필수의료 분야 수가 합리화와 의료사고 법적 부담 완화 등이 우선적으로 해결돼야 한다, 의사 수 과부족을 판단하는 다양한 지표를 배제한 편향된 일부 연구결과만 반영한 수치로 보여 신뢰하기 어렵다, 전문의 한 명을 양성하는데 10년 이상이 걸리고 약 10억 가까운 사회적 비용이 들어간다, 의사 숫자가 늘어나는 것은 의료비 증가와 매우 밀접한 상관관계가 있다, 단순한 산술 계산 방식으로 의사 수 과부족을 판단하기보다는 좀 더 신중한 접근이 필요하다",
의대 정원 확대,의대 증원 발표 다가오자 ‘전운’ 감도는 의료계,https://www.docdocdoc.co.kr/news/articleView.html?idxno=3013976,-3,"현장 의료인의 목소리를 외면한 채 일방적으로 진행돼 간신히 지탱해 오는 대한민국 의료시스템을 몽땅 무너뜨릴 최후의 한방은 아닌지 우려된다, 속은 곪을 대로 곪아 여기저기 증상을 호소하며 신음하는 의료체계의 문제점을 정확히 진단하고 개선책을 내놓지 못하면 그 피해는 고스란히 국민들에게 돌아갈 것, 의사를 때려잡으면 의료가 개혁된다는 것인데 이것이 정말로 의료를 살리는 길인가, 필수의료 정책 패키지는 관치의료 폐해의 화룡점정, 의대 정원 증원을 위한 공갈사탕 또는 탁상공론일 뿐, 의사 전문직업성을 인정하지 않는 관료주의 의료제도 자체를 바꾸지 않는 한 백약이 무효일 수밖에 없다, 조만간 발표될 의대 정원 확대 등 정책이 전문가 단체와 협의 없이 일방적으로 지속된다면 전남 의사 회원은 총파업을 비롯한 가장 강력한 투쟁 선봉에 서겠다",
의대 정원 확대,"의대 정원 확대, 2020년보다 유리한 이유?",https://www.docdocdoc.co.kr/news/articleView.html?idxno=3012847,0,고령화로 의료 수요가 증대되고 필수의료 인력 공급 위기에 처한 상황에서 다수 시민들이 관심을 기울이는 중요한 민생 의제인 의대 정원 문제에 대해 여야 정치권이 초당적으로 논의를 전개해 양극화된 정치권 갈등 관리 역량을 회복하는 계기로 삼아야 한다,
