주제,기사 제목,기사 URL,편향성 평가,주요 문장,비고
기본소득,"[기고] 안심소득과 기본소득, 뭐가 정의로운가",https://www.mk.co.kr/news/contributors/110559000,2,"서울시와 서울시복지재단에서 실험하고 있는 안심소득은 하후상박형으로 설계되어 정의로우며, 효율적인 자원 배분이 이루어질 수 있는 지속 가능하고 포용적인 한국형 복지제도","기본소득제 도입 찬성은 1, 반대는 -1, 중립은 0"
기본소득,"경기연구원 “기본소득 도입, 국민 10명 중 8명 찬성”",https://www.hani.co.kr/arti/area/capital/1002415.html,2,"기본소득 관련 여론조사를 실시한 결과 응답자의 50.3%가 기본소득 지급액수와 관련없이 도입에 찬성, 기본소득은 복지적 경제정책인 동시에 경제적 기본권 실현 정책, 기본소득 정책 실행이 제대로 되기만 하면 국민 대다수의 기여와 지지를 얻어낼 수 있고, 그동안 쟁점이 됐던 재원 부담도 더는 문제가 안 될 것",
기본소득,이지훈의 경제이야기 (86)기본소득제에 대한 찬반 논리,https://www.nongmin.com/article/20201012327743,2,"게으를 수 있는 자유, 정의의 회복, 효율성의 회복, 빈곤의 덫에서 벗어날 수 있다는 점",
기본소득,이지훈의 경제이야기 (86)기본소득제에 대한 찬반 논리,https://www.nongmin.com/article/20201012327743,-2,"무임승차(free-riding)를 조장, 기본소득은 어떤 의무도 요구하지 않음으로써 상호주의를 위반, 지나치게 많은 돈이 든다는 것, 기본소득이 충분성을 가지려면 엄청난 돈이 필요하고 결국 세금을 크게 높일 수밖에 없다, 충분하지 않은 기본소득을 지급한다면 취약 계층이 필요로 하는 사회적 보호를 제공하기 어려울 것",
기본소득,"기본소득제, 모두를 위한 날개일까 낭비일까",https://www.skkuw.com/news/articleView.html?idxno=23171,3,"기본소득은 고용으로의 노동 외에 어떤 노동을 택할지에 대한 실질적 자유를 제공, 노동임금 없이도 최소한의 생활이 가능해지므로 실질적으로 노동에 대한 자율적 선택권이 보장된다는 것이다, 또한 임금만을 위해 일하지 않아도 된다면 노동자의 협상력이 향상되고 불공정 계약을 줄여 더 높은 급여와 나은 근무환경을 형성할 수 있다고 설명한다",
기본소득,"기본소득제, 모두를 위한 날개일까 낭비일까",https://www.skkuw.com/news/articleView.html?idxno=23171,-2,"국민의 조세 부담이 커지지 않냐는 지적, 다른 방법의 획기적인 증세로 이를 도입한다면 경제에 부정적 충격과 국민의 반발이 심할 것, 기본소득을 불필요한 고소득층에게까지 일괄적으로 지급하기보다 더 절실하게 필요로 하는 사람에게 도움을 줘야 한다는 것, 포퓰리즘에 불과하다고 지적",
기본소득,"기본소득제' 도입 찬반 여론 시끌 ""경제 불평등 해결"" VS ""노는 사람 더 많아질 것""",https://magazine.hankyung.com/business/article/202307209428b,1,"경제 불평등 문제를 완화시킬 수 있고, 미래에 대한 막연한 불안감을 없앨 수 있으며, 사회적 양극화를 해소할 수 있다",
기본소득,"기본소득제' 도입 찬반 여론 시끌 ""경제 불평등 해결"" VS ""노는 사람 더 많아질 것""",https://magazine.hankyung.com/business/article/202307209428b,-3,"막대한 세금이 들어가는 포퓰리즘 정책, 제도 시행에 국가 세금이 너무 많이 들 것 같다, 일하지 않는 사람들이 늘어날 것 같다, 일하지 않는 사람에게 생활비를 주는 것은 공정하지 않다",
기본소득,"""기본소득제 도입 찬성 48.6% vs 반대 42.8%""[리얼미터]",https://www.yna.co.kr/view/AKR20200608018400001,1,최소한의 생계 보장을 위해 찬성한다,
기본소득,"""기본소득제 도입 찬성 48.6% vs 반대 42.8%""[리얼미터]",https://www.yna.co.kr/view/AKR20200608018400001,-1,국가 재정에 부담이 되고 세금이 늘어 반대한다,
기본소득,눈치보지 않는 노동 출발점은 기본소득,https://www.hani.co.kr/arti/society/society_general/970733.html,2,"기본소득은 기업이윤 초집중 구조적 일자리 소멸 소비절벽으로 상징되는 코로나 이후 4차 산업혁명 시대의 피할 수 없는 정책, 기본소득에는 사각지대가 없다는 게 큰 장점",
기본소득,눈치보지 않는 노동 출발점은 기본소득,https://www.hani.co.kr/arti/society/society_general/970733.html,-1,"기본소득을 위한 예산을 확보하다 보면 기존 복지가 축소되거나 사라지는 게 아닐까, 기본소득을 시행하면 빈곤층 중에서도 소득 하위 10% 가구는 오히려 가처분소득이 감소",
